Unix	jday	U.component_of_wind
1193720400	303	2.41928048677896
1193724000	303	1.12796334795415
1193727600	303	0.950643986759493
1193731200	303	0.787429008447898
1193734800	303	0.388494323766427
1193738400	303	0.0908384146227401
1193742000	303	-0.223669214401006
1193745600	303	1.32586573102072
1193749200	303	0.538056424159997
1193752800	303	0.397695691195016
1193756400	303	0.175415835946923
1193760000	303	-0.355729360271501
1193763600	303	-1.01551868045956
1193767200	303	-0.893549763291203
1193770800	303	-1.62487373436016
1193774400	303	-1.96910472533649
1193778000	303	-2.0204893401679
1193781600	303	-1.06214521400596
1193785200	303	-0.0447156146148318
1193788800	304	1.69768936771493
1193792400	304	0.975611786795412
1193796000	304	0.328687228729116
1193799600	304	-0.156092838692903
1193803200	304	0.370459785215296
1193806800	304	1.28699597136436
1193810400	304	1.30843657283376
1193814000	304	1.62797233296978
1193817600	304	2.11342738094566
1193821200	304	2.8209229428478
1193824800	304	2.89643202503568
1193828400	304	2.90604180507728
1193832000	304	3.24492970860745
1193835600	304	3.62432251830058
1193839200	304	3.95193332745789
1193842800	304	3.82037264232324
1193846400	304	3.15242258099316
1193850000	304	2.60048439029703
1193853600	304	3.97270660889481
1193857200	304	2.27460542863294
1193860800	304	2.27323769077897
1193864400	304	2.93268978185474
1193868000	304	3.66951469257042
1193875200	305	3.17430285690198
1193878800	305	3.43044308744481
1193882400	305	3.68604399432638
1193886000	305	4.0904180375095
1193889600	305	4.08885580866292
1193893200	305	3.92049722906912
1193896800	305	4.78028813967115
1193900400	305	3.33585375823091
1193904000	305	2.27617624350488
1193907600	305	1.28489286757104
1193911200	305	0.76704320635142
1193914800	305	0.369405407405782
1193918400	305	-0.0287170509750625
1193922000	305	-0.221036825178153
1193925600	305	-0.438140882882852
1193929200	305	-0.61399118848314
1193932800	305	-0.662029335340404
1193936400	305	-0.659995568755704
1193940000	305	0.476282073101475
1193943600	305	0.148926321979801
1193947200	305	0.620040851457031
1193950800	305	1.8695502862782
1193954400	305	2.57780122764842
1193958000	305	3.0428892477305
1193961600	306	2.35427058446407
1193965200	306	3.63252336927606
1193968800	306	4.07680810346577
1193972400	306	4.23344812322118
1193976000	306	4.07880853266106
1193979600	306	3.85668737677511
1193983200	306	2.96748005990186
1193986800	306	2.46254054661972
1193990400	306	2.19775539335654
1193994000	306	1.8107067413958
1193997600	306	1.00681929022332
1194001200	306	0.149530264603649
1194004800	306	-1.4769035389035
1194008400	306	-1.840063928343
1194012000	306	-1.61548412066392
1194015600	306	-1.10268811468305
1194019200	306	-1.22326855563163
1194022800	306	-1.23632309547592
1194026400	306	-0.880998175836678
1194030000	306	-1.04680902915256
1194033600	306	-0.392147353450021
1194037200	306	-0.47840523811013
1194040800	306	-0.119584330910988
1194044400	306	0.255720511810561
1194048000	307	0.0897722512774196
1194051600	307	0.812251867776334
1194055200	307	0.565502013592642
1194058800	307	-0.0866186847112227
1194062400	307	-1.39237071667303
1194066000	307	-2.73311097035885
1194069600	307	-3.91368487810011
1194073200	307	-4.89385962234056
1194076800	307	-4.96020979817019
1194080400	307	-4.56368839995481
1194084000	307	-3.55989740626852
1194087600	307	-1.9145477685161
1194091200	307	2.31077382446876
1194094800	307	3.11651074880313
1194098400	307	4.08399161135892
1194102000	307	4.60867028697131
1194105600	307	4.06250606939806
1194109200	307	3.49175535608078
1194112800	307	4.29464419842407
1194116400	307	4.05229653982185
1194120000	307	3.541995718806
1194123600	307	2.8776182790677
1194127200	307	2.45876934933624
1194130800	307	2.04710789955699
1194134400	308	2.35020920340447
1194138000	308	2.04422155430351
1194141600	308	1.81233630002158
1194145200	308	1.66683100992057
1194148800	308	1.8323718554641
1194152400	308	1.97720303706007
1194156000	308	3.00285942874522
1194159600	308	2.82132924937349
1194163200	308	2.53144201164326
1194166800	308	3.00782178508688
1194170400	308	2.85519908152205
1194174000	308	3.15200479157735
1194177600	308	4.3321705284161
1194181200	308	4.56635037359561
1194184800	308	5.18677062523615
1194188400	308	4.74391626629003
1194192000	308	4.40884642665579
1194195600	308	4.20533541056127
1194199200	308	4.10625230917353
1194202800	308	4.28318252996953
1194206400	308	4.39121809943039
1194210000	308	4.67918953950061
1194213600	308	5.38761852793336
1194217200	308	5.94327312401473
1194220800	309	5.47314330915019
1194224400	309	6.7458346159463
1194228000	309	7.18825490476585
1194231600	309	6.86213175849911
1194235200	309	6.79596382135507
1194238800	309	6.60149016930302
1194242400	309	2.43799394528929
1194246000	309	2.95260382883724
1194249600	309	3.21867667287197
1194253200	309	3.2961833489627
