Unix	jday	Downward_Short.Wave_Rad_Flux
884818800	14	87.9149937630409
884822400	15	224.932651420496
884826000	15	224.932651420496
884829600	15	259.741484166359
884833200	15	306.097452438522
884836800	15	341.660521040685
884840400	15	352.417988793094
884844000	15	134.740736774472
884847600	15	134.740736774472
884851200	15	80.3605064549109
884854800	15	53.7118935455578
884858400	15	40.2783830615575
884862000	15	32.2237595178902
884865600	15	0
884869200	15	0
884872800	15	0
884876400	15	0
884880000	15	0
884883600	15	0
884887200	15	6.36350305414377
884890800	15	6.36350305414377
884894400	15	9.71138027063531
884898000	15	18.0131446504324
884901600	15	51.9900810735479
884905200	15	132.023845613714
884908800	16	725.369182482979
884912400	16	725.369182482979
884916000	16	812.165766027202
884919600	16	794.474124731472
884923200	16	772.146063577982
884926800	16	737.971961494278
884930400	16	272.201217196519
884934000	16	272.201217196519
884937600	16	177.243041796743
884941200	16	118.481535834221
884944800	16	88.8536037376353
884948400	16	71.0910422905858
884952000	16	0
884955600	16	0
884959200	16	0
884962800	16	0
884966400	16	0
884970000	16	0
884973600	16	132.772817696185
884977200	16	132.772817696185
884980800	16	230.681905993715
884984400	16	335.095497182437
884988000	16	434.567732494864
884991600	16	524.553078501799
884995200	17	1030.02228141817
884998800	17	1030.02228141817
885002400	17	1021.6307911196
885006000	17	993.44094736241
885009600	17	928.271108907174
885013200	17	837.1061373354
885016800	17	125.730372060869
885020400	17	125.730372060869
885024000	17	74.683299567749
885027600	17	49.8781907435878
885031200	17	37.409419948763
885034800	17	29.9257166236922
885038400	17	0
885042000	17	0
885045600	17	0
885049200	17	0
885052800	17	0
885056400	17	0
885060000	17	46.2858414379447
885063600	17	46.2858414379447
885067200	17	105.144631171672
885070800	17	173.819501918485
885074400	17	223.965670668456
885078000	17	268.935595333616
885081600	18	655.609073828873
885085200	18	655.609073828873
885088800	18	716.546779580147
885092400	18	745.999296190933
885096000	18	753.338354123424
885099600	18	731.431657948
885103200	18	263.145896875049
885106800	18	263.145896875049
885110400	18	169.775672561099
885114000	18	113.389155565075
885117600	18	85.048158762727
885121200	18	68.0389362736409
885124800	18	0
885128400	18	0
885132000	18	0
885135600	18	0
885139200	18	0
885142800	18	0
885146400	18	12.3285372882558
885150000	18	12.3285372882558
885153600	18	19.4505598373245
885157200	18	22.7737066591774
885160800	18	29.275048100831
885164400	18	37.6739495507141
885168000	19	269.621455662701
885171600	19	269.621455662701
885175200	19	251.646046549325
885178800	19	262.056806612044
885182400	19	314.887302967712
885186000	19	386.859948132808
885189600	19	279.584727417009
885193200	19	279.584727417009
885196800	19	182.215500567106
885200400	19	121.695902011374
885204000	19	91.2748113075885
885207600	19	73.012914376355
885211200	19	0
885214800	19	0
885218400	19	0
885222000	19	0
885225600	19	0
885229200	19	0
885232800	19	132.198191791539
885236400	19	132.198191791539
885240000	19	232.089254283147
885243600	19	332.116467597086
885247200	19	428.622208831924
885250800	19	517.410096243075
885254400	20	1035.2964569876
885258000	20	1035.2964569876
885261600	20	1025.25643762457
885265200	20	988.526773137824
885268800	20	922.262859918667
885272400	20	842.513337024557
885276000	20	166.791673451706
885279600	20	166.791673451706
885283200	20	108.983457051675
885286800	20	72.818459156373
885290400	20	54.6079473465247
885294000	20	43.6836950340373
885297600	20	0
885301200	20	0
885304800	20	0
885308400	20	0
885312000	20	0
885315600	20	0
885319200	20	78.7613668525249
885322800	20	78.7613668525249
885326400	20	149.00461525542
885330000	20	233.447124717544
885333600	20	312.92918033787
885337200	20	389.097381486659
885340800	21	847.555783047573
885344400	21	847.555783047573
885348000	21	856.552118788215
885351600	21	866.169886281098
885355200	21	850.342975401543
885358800	21	811.943870831177
885362400	21	255.972081061258
885366000	21	255.972081061258
885369600	21	165.110065729136
885373200	21	110.213317044535
885376800	21	82.6562698708393
885380400	21	66.1231959203263
885384000	21	0
885387600	21	0
885391200	21	0
885394800	21	0
885398400	21	0
885402000	21	0
885405600	21	121.498752391793
885409200	21	121.498752391793
885412800	21	220.340665525999
885416400	21	321.227097097618
885420000	21	418.442804453516
885423600	21	506.908479082887
885427200	22	1016.22302507596
885430800	22	1016.22302507596
885434400	22	1009.84645218789
885438000	22	983.366759880126
885441600	22	936.448948098102
885445200	22	872.505239480259
885448800	22	106.197323036994
885452400	22	106.197323036994
885456000	22	62.4320738629037
885459600	22	41.6419381745946
885463200	22	31.2380208358154
885466800	22	24.9844180509235
885470400	22	0
885474000	22	0
885477600	22	0
885481200	22	0
885484800	22	0
885488400	22	0
885492000	22	23.7302391988908
885495600	22	23.7302391988908
885499200	22	51.9600871847188
885502800	22	91.0151597335817
885506400	22	109.080546431979
885510000	22	113.114006491659
885513600	23	106.585936303073
885517200	23	106.585936303073
885520800	23	106.74710625881
885524400	23	106.897487813901
885528000	23	100.234225789314
885531600	23	89.591269834851
885535200	23	13.1203375703461
885538800	23	13.1203375703461
885542400	23	8.77242545600855
885546000	23	5.85418349563995
885549600	23	4.3881265891838
885553200	23	3.51387715488994
885556800	23	0
885560400	23	0
885564000	23	0
885567600	23	0
885571200	23	0
885574800	23	0
885578400	23	27.2753358442157
885582000	23	27.2753358442157
885585600	23	60.3919574342743
885589200	23	87.7111478836933
885592800	23	107.52821943934
885596400	23	124.135865124595
885600000	24	181.529720969491
885603600	24	181.529720969491
885607200	24	165.810411539715
885610800	24	158.212174888695
885614400	24	154.452545344233
885618000	24	148.653323396369
885621600	24	64.1327839778937
885625200	24	64.1327839778937
885628800	24	42.4523727021211
885632400	24	28.3107965867192
885636000	24	21.2312084569401
885639600	24	16.9918295578356
885643200	24	0
885646800	24	0
