Unix	jday	U-component_of_wind
1100235600	317	-4.76975087394369
1100239200	317	-4.80763821146876
1100242800	317	-4.56740560388052
1100246400	317	-3.52668078741844
1100250000	317	-1.88255278172456
1100253600	317	-0.639319352300169
1100257200	317	0.286138996559957
1100260800	317	1.45820021990138
1100264400	317	1.65103328650896
1100268000	317	1.95900307622407
1100271600	317	2.24723149876459
1100275200	317	2.34734371312545
1100278800	317	2.43052816759964
1100282400	317	1.33085667904229
1100286000	317	1.89192210795389
1100289600	317	1.63305496830212
1100293200	317	0.71482835959896
1100296800	317	-0.766318558168346
1100300400	317	-2.13407438290859
1100304000	318	-2.82336145237675
1100307600	318	-3.42157432994133
1100311200	318	-3.45303165116011
1100314800	318	-3.02023833457587
1100318400	318	-2.47997493520194
1100322000	318	-2.0303298385167
1100325600	318	-1.62864183061479
1100329200	318	-0.716829247188529
1100332800	318	0.1698918855622
1100336400	318	0.936320211086271
1100340000	318	1.44633717232945
1100343600	318	1.90518766584873
1100347200	318	3.58006356496341
1100350800	318	2.81711846407633
1100354400	318	2.11429526745144
1100358000	318	1.55595134684031
1100361600	318	1.10748360916726
1100365200	318	0.80024586238196
1100368800	318	-0.0495894062217136
1100372400	318	0.284473576522686
1100376000	318	-0.213106929820001
1100379600	318	-1.25354916339409
1100383200	318	-2.35893766400701
1100386800	318	-3.47701552838071
1100390400	319	-4.94855834849292
1100394000	319	-5.79482063505685
1100397600	319	-6.35240263108602
1100401200	319	-6.4864821770222
1100404800	319	-7.16970629973378
1100408400	319	-7.54215644555998
1100412000	319	-6.47382304311752
1100415600	319	-5.77850790448023
1100419200	319	-5.75394830365005
1100422800	319	-5.60336875294871
1100426400	319	-4.99599858340803
1100430000	319	-4.40622136648805
1100433600	319	-1.85408283928868
1100437200	319	-2.32526172894645
1100440800	319	-3.27895733842741
1100444400	319	-4.34993234068009
1100448000	319	-3.78987327618006
1100451600	319	-3.0191228833538
1100455200	319	-3.18929400169594
1100458800	319	-3.48620872401556
1100462400	319	-3.33616047430084
1100466000	319	-2.19568579017598
1100469600	319	-1.7352899114587
1100473200	319	-1.60955937658763
1100476800	320	-2.67611119740383
1100480400	320	-1.35651708371633
1100484000	320	1.351957096548
1100487600	320	4.60950272055664
1100491200	320	6.56703098221302
1100494800	320	7.54888235872313
1100498400	320	7.72952825840058
1100502000	320	6.58393501644641
1100505600	320	4.36104179854554
1100509200	320	3.68172949003254
1100512800	320	3.74563431639154
1100516400	320	4.24423104186063
1100520000	320	5.32478234832108
1100523600	320	4.78535481151114
1100527200	320	4.3098574297157
1100530800	320	3.36030177560572
1100534400	320	2.68204482504048
1100538000	320	2.34184944350296
1100541600	320	2.21854788074322
1100545200	320	3.06789914167265
1100548800	320	4.45296467429709
1100552400	320	5.04247009666472
1100556000	320	5.3534851823164
1100559600	320	5.71167686219079
1100563200	321	4.73242403468449
1100566800	321	5.22359267177619
1100570400	321	5.15946611689585
1100574000	321	5.20231615310559
1100577600	321	5.45404680351177
1100581200	321	5.83739093304815
1100584800	321	3.93093072837736
1100588400	321	5.41363834759625
1100592000	321	6.41219371310482
1100595600	321	6.42838523104245
1100599200	321	6.02985077928719
1100602800	321	5.7553472755543
1100606400	321	5.03497677307521
1100610000	321	4.92413548694738
1100613600	321	4.54002112781337
1100617200	321	4.20222304788396
1100620800	321	3.90395378866302
1100624400	321	3.57794965213029
1100628000	321	4.78709712613241
1100631600	321	4.4029058943204
1100635200	321	3.81262565178816
1100638800	321	2.95267985869932
1100642400	321	2.1301801380021
1100646000	321	1.36875800892941
1100649600	322	0.635521528538383
1100653200	322	0.781748988616689
1100656800	322	1.58393326604141
1100660400	322	2.39210388327277
1100664000	322	3.55709620213478
1100667600	322	4.43042192363128
1100671200	322	4.54723386854883
1100674800	322	4.9010981036722
1100678400	322	5.08171194943879
1100682000	322	4.83108759039618
1100685600	322	4.39357972390286
1100689200	322	4.30430340827085
1100692800	322	5.08560563031221
1100696400	322	4.65650173089752
1100700000	322	4.62205666033195
1100703600	322	4.68505923345506
1100707200	322	4.26522733461114
1100710800	322	3.60308429615453
1100714400	322	1.3583431393559
1100718000	322	1.52372493339181
1100721600	322	1.31748301105547
1100725200	322	0.230463881182399
1100728800	322	-1.23048089489633
1100732400	322	-2.66550463964976
1100736000	323	-4.22410853978265
1100739600	323	-4.30371017474773
1100743200	323	-4.28780963329128
1100746800	323	-4.36021974829936
1100750400	323	-4.23421087127205
1100754000	323	-4.2498748546502
1100757600	323	-4.11836823520205
1100761200	323	-3.65846117960108
1100764800	323	-2.43400909362489
1100768400	323	-0.700847515821589
1100772000	323	0.304965978790774
1100775600	323	1.06424026471178
1100779200	323	1.41707739608685
1100782800	323	1.62419090766785
1100786400	323	1.49232025211915
1100790000	323	1.52214829737261
1100793600	323	1.02561834858054
1100797200	323	0.777574628218684
1100800800	323	-0.343988276628268
1100804400	323	0.305562125861679
1100808000	323	0.0704821782782184
1100811600	323	-0.132882750656123
1100815200	323	-0.363959815535532
1100818800	323	-0.79708921804181
1100822400	324	-1.11955974234675
1100826000	324	-0.341329739404318
1100829600	324	0.445211933563753
1100833200	324	1.1118946775191
1100836800	324	1.59850130897886
1100840400	324	2.02284536681175
1100844000	324	1.53317588053822
1100847600	324	3.04022524999878
1100851200	324	4.30275363456168
1100854800	324	4.90490719610572
1100858400	324	4.18622039394662
1100862000	324	3.77124968983218
1100865600	324	4.26020860527238
1100869200	324	3.2905935854897
1100872800	324	3.29106708694199
1100876400	324	3.40345472569499
1100880000	324	2.71068657673772
1100883600	324	1.65706672892212
1100887200	324	1.60838720327389
1100890800	324	2.47824894345029
1100894400	324	3.31331597525392
1100898000	324	3.7369036721208
1100901600	324	4.39207507481493
1100905200	324	5.20056150000483
1100908800	325	6.34305897886196
1100912400	325	7.36389536269583
1100916000	325	7.82469916108984
1100919600	325	7.09647225515067
1100923200	325	6.30120711862631
1100926800	325	5.60079535648487
1100930400	325	5.68252527938586
1100934000	325	4.77721361958054
1100937600	325	4.47714774106726
1100941200	325	4.51483899220498
1100944800	325	4.4398365223157
1100948400	325	4.64499312193268
1100952000	325	1.20288656388874
1100955600	325	3.61431874350473
1100959200	325	4.48674225158946
1100962800	325	4.58834608898817
1100966400	325	4.37499997340538
1100970000	325	4.22215111087861
