Unix	jday	rh
1044198000	33	86
1044201600	33	86
1044205200	33	86
1044208800	33	85
1044212400	33	75
1044216000	33	66
1044219600	33	59
1044223200	33	52
1044226800	33	45
1044230400	34	45
1044234000	34	44
1044237600	34	44
1044241200	34	45
1044244800	34	46
1044248400	34	48
1044252000	34	56
1044255600	34	59
1044259200	34	71
1044262800	34	81
1044266400	34	84
1044270000	34	80
1044273600	34	79
1044277200	34	78
1044280800	34	80
1044284400	34	79
1044288000	34	82
1044291600	34	85
1044295200	34	87
1044298800	34	87
1044302400	34	86
1044306000	34	84
1044309600	34	81
1044313200	34	78
1044316800	35	75
1044320400	35	70
1044324000	35	64
1044327600	35	60
1044331200	35	57
1044334800	35	57
1044338400	35	59
1044342000	35	61
1044345600	35	65
1044349200	35	68
1044352800	35	70
1044356400	35	73
1044360000	35	72
1044363600	35	72
1044367200	35	74
1044370800	35	76
1044374400	35	81
1044378000	35	85
1044381600	35	90
1044385200	35	81
1044388800	35	67
1044392400	35	56
1044396000	35	51
1044399600	35	47
1044403200	36	48
1044406800	36	47
1044410400	36	46
1044414000	36	46
1044417600	36	48
1044421200	36	50
1044424800	36	54
1044428400	36	57
1044432000	36	66
1044435600	36	72
1044439200	36	77
1044442800	36	80
1044446400	36	81
1044450000	36	82
1044453600	36	84
1044457200	36	84
1044460800	36	85
1044464400	36	85
1044468000	36	87
1044471600	36	77
1044475200	36	69
1044478800	36	59
1044482400	36	50
1044486000	36	44
1044489600	37	41
1044493200	37	37
1044496800	37	39
1044500400	37	42
1044504000	37	45
1044507600	37	50
1044511200	37	58
1044514800	37	63
1044518400	37	74
1044522000	37	80
1044525600	37	84
1044529200	37	85
1044532800	37	85
1044536400	37	86
1044540000	37	87
1044543600	37	86
1044547200	37	86
1044550800	37	84
1044554400	37	83
1044558000	37	77
1044561600	37	70
1044565200	37	65
1044568800	37	61
1044572400	37	58
1044576000	38	60
1044579600	38	58
1044583200	38	59
1044586800	38	60
1044590400	38	62
1044594000	38	65
1044597600	38	71
1044601200	38	74
1044604800	38	80
1044608400	38	84
1044612000	38	87
1044615600	38	88
1044619200	38	86
1044622800	38	87
1044626400	38	88
1044630000	38	88
1044633600	38	88
1044637200	38	88
1044640800	38	90
1044644400	38	81
1044648000	38	73
1044651600	38	65
1044655200	38	56
1044658800	38	50
1044662400	39	45
1044666000	39	42
1044669600	39	41
1044673200	39	41
1044676800	39	41
1044680400	39	41
1044684000	39	42
1044687600	39	47
1044691200	39	54
1044694800	39	60
1044698400	39	64
1044702000	39	67
1044705600	39	66
1044709200	39	68
1044712800	39	71
1044716400	39	73
1044720000	39	75
1044723600	39	77
1044727200	39	79
1044730800	39	74
1044734400	39	71
1044738000	39	67
1044741600	39	59
1044745200	39	53
1044748800	40	54
1044752400	40	51
1044756000	40	51
1044759600	40	51
1044763200	40	53
1044766800	40	56
1044770400	40	63
1044774000	40	65
1044777600	40	70
1044781200	40	74
1044784800	40	77
1044788400	40	80
1044792000	40	78
1044795600	40	79
1044799200	40	79
1044802800	40	79
1044806400	40	80
1044810000	40	82
1044813600	40	80
1044817200	40	73
1044820800	40	70
1044824400	40	66
1044828000	40	60
1044831600	40	57
1044835200	41	56
1044838800	41	54
1044842400	41	54
1044846000	41	54
1044849600	41	55
1044853200	41	58
1044856800	41	63
1044860400	41	67
1044864000	41	76
1044867600	41	77
1044871200	41	78
1044874800	41	77
1044878400	41	75
1044882000	41	74
1044885600	41	74
1044889200	41	75
1044892800	41	75
1044896400	41	75
1044900000	41	72
1044903600	41	67
1044907200	41	65
1044910800	41	62
1044914400	41	58
1044918000	41	54
1044921600	42	40
1044925200	42	36
1044928800	42	35
1044932400	42	35
1044936000	42	36
1044939600	42	39
1044943200	42	39
1044946800	42	45
1044950400	42	56
1044954000	42	68
1044957600	42	72
1044961200	42	75
1044964800	42	75
1044968400	42	74
1044972000	42	74
1044975600	42	74
1044979200	42	75
1044982800	42	77
1044986400	42	78
1044990000	42	78
1044993600	42	77
1044997200	42	75
1045000800	42	74
1045004400	42	72
1045008000	43	69
1045011600	43	65
1045015200	43	64
1045018800	43	63
1045022400	43	64
1045026000	43	67
1045029600	43	71
1045033200	43	73
1045036800	43	77
1045040400	43	79
1045044000	43	81
1045047600	43	83
1045051200	43	85
1045054800	43	87
1045058400	43	91
1045062000	43	92
1045065600	43	92
1045069200	43	90
1045072800	43	92
1045076400	43	86
1045080000	43	77
1045083600	43	66
1045087200	43	53
1045090800	43	43
1045094400	44	33
1045098000	44	29
1045101600	44	29
1045105200	44	30
1045108800	44	30
1045112400	44	30
1045116000	44	29
1045119600	44	32
1045123200	44	37
1045126800	44	45
1045130400	44	49
1045134000	44	52
1045137600	44	41
1045141200	44	44
1045144800	44	48
1045148400	44	53
1045152000	44	58
1045155600	44	63
1045159200	44	69
1045162800	44	60
1045166400	44	53
1045170000	44	62
1045173600	44	80
1045177200	44	90
1045180800	45	87
1045184400	45	83
1045188000	45	83
1045191600	45	84
1045195200	45	85
1045198800	45	85
1045202400	45	84
1045206000	45	82
1045209600	45	82
1045213200	45	81
1045216800	45	79
1045220400	45	78
1045224000	45	78
1045227600	45	78
1045231200	45	79
1045234800	45	79
1045238400	45	81
1045242000	45	82
1045245600	45	81
1045249200	45	73
1045252800	45	67
1045256400	45	59
1045260000	45	52
1045263600	45	48
1045267200	46	47
1045270800	46	46
1045274400	46	45
1045278000	46	44
1045281600	46	45
1045285200	46	47
1045288800	46	52
1045292400	46	58
1045296000	46	65
1045299600	46	70
1045303200	46	73
1045306800	46	76
1045310400	46	75
1045314000	46	76
1045317600	46	76
1045321200	46	77
1045324800	46	77
1045328400	46	77
1045332000	46	77
1045335600	46	70
1045339200	46	62
1045342800	46	56
1045346400	46	49
1045350000	46	43
1045353600	47	42
1045357200	47	39
1045360800	47	39
1045364400	47	38
1045368000	47	38
1045371600	47	39
1045375200	47	39
1045378800	47	50
1045382400	47	56
1045386000	47	55
1045389600	47	56
1045393200	47	58
1045396800	47	59
1045400400	47	57
1045404000	47	56
1045407600	47	56
1045411200	47	58
1045414800	47	60
1045418400	47	61
1045422000	47	57
1045425600	47	54
1045429200	47	50
1045432800	47	42
1045436400	47	37
1045440000	48	30
1045443600	48	28
1045447200	48	30
1045450800	48	33
1045454400	48	38
1045458000	48	43
1045461600	48	44
1045465200	48	50
1045468800	48	58
1045472400	48	62
1045476000	48	64
1045479600	48	65
1045483200	48	65
1045486800	48	64
1045490400	48	64
1045494000	48	64
1045497600	48	65
1045501200	48	65
1045504800	48	64
1045508400	48	63
1045512000	48	58
1045515600	48	54
1045519200	48	53
1045522800	48	54
1045526400	49	57
1045530000	49	59
1045533600	49	54
1045537200	49	50
1045540800	49	47
1045544400	49	40
1045548000	49	38
1045551600	49	42
1045555200	49	50
1045558800	49	56
1045562400	49	58
1045566000	49	59
1045569600	49	57
1045573200	49	57
1045576800	49	60
1045580400	49	64
1045584000	49	66
1045587600	49	68
1045591200	49	68
1045594800	49	64
1045598400	49	58
1045602000	49	53
1045605600	49	49
1045609200	49	47
1045612800	50	40
1045616400	50	40
1045620000	50	46
1045623600	50	54
1045627200	50	69
1045630800	50	82
1045634400	50	86
1045638000	50	80
1045641600	50	73
1045645200	50	68
1045648800	50	66
1045652400	50	65
1045656000	50	64
1045659600	50	62
1045663200	50	64
1045666800	50	65
1045670400	50	65
1045674000	50	65
1045677600	50	63
1045681200	50	57
1045684800	50	51
1045688400	50	46
1045692000	50	42
1045695600	50	40
1045699200	51	37
1045702800	51	36
1045706400	51	36
1045710000	51	36
1045713600	51	38
1045717200	51	40
1045720800	51	42
1045724400	51	47
1045728000	51	55
1045731600	51	59
1045735200	51	59
1045738800	51	59
1045742400	51	59
1045746000	51	60
1045749600	51	65
1045753200	51	68
1045756800	51	69
1045760400	51	69
1045764000	51	71
1045767600	51	69
1045771200	51	64
1045774800	51	60
1045778400	51	52
1045782000	51	46
1045785600	52	42
1045789200	52	40
1045792800	52	40
1045796400	52	41
1045800000	52	42
1045803600	52	44
1045807200	52	50
1045810800	52	56
1045814400	52	62
1045818000	52	66
1045821600	52	68
1045825200	52	70
1045828800	52	71
1045832400	52	71
1045836000	52	71
1045839600	52	70
1045843200	52	69
1045846800	52	69
1045850400	52	69
1045854000	52	63
1045857600	52	55
1045861200	52	50
1045864800	52	47
1045868400	52	44
1045872000	53	45
1045875600	53	46
1045879200	53	45
1045882800	53	45
1045886400	53	47
1045890000	53	49
1045893600	53	55
1045897200	53	61
1045900800	53	70
1045904400	53	74
1045908000	53	76
1045911600	53	78
1045915200	53	78
1045918800	53	78
1045922400	53	80
1045926000	53	81
1045929600	53	81
1045933200	53	82
1045936800	53	83
1045940400	53	78
1045944000	53	69
1045947600	53	58
1045951200	53	50
1045954800	53	45
1045958400	54	44
1045962000	54	42
1045965600	54	42
1045969200	54	42
1045972800	54	42
1045976400	54	44
1045980000	54	51
1045983600	54	56
1045987200	54	59
1045990800	54	62
1045994400	54	66
1045998000	54	70
1046001600	54	72
1046005200	54	76
1046008800	54	81
1046012400	54	84
1046016000	54	86
1046019600	54	88
1046023200	54	89
1046026800	54	88
1046030400	54	86
1046034000	54	83
1046037600	54	82
1046041200	54	80
1046044800	55	78
1046048400	55	74
1046052000	55	67
1046055600	55	62
1046059200	55	61
1046062800	55	61
1046066400	55	64
1046070000	55	71
1046073600	55	81
1046077200	55	85
1046080800	55	87
1046084400	55	87
1046088000	55	87
1046091600	55	89
1046095200	55	92
1046098800	55	93
1046102400	55	92
1046106000	55	92
1046109600	55	93
1046113200	55	91
1046116800	55	88
1046120400	55	77
1046124000	55	64
1046127600	55	56
1046131200	56	52
1046134800	56	51
1046138400	56	52
1046142000	56	55
1046145600	56	60
1046149200	56	66
1046152800	56	73
1046156400	56	81
1046160000	56	91
1046163600	56	93
1046167200	56	91
1046170800	56	89
1046174400	56	88
1046178000	56	89
1046181600	56	92
1046185200	56	93
1046188800	56	93
1046192400	56	93
1046196000	56	91
1046199600	56	89
1046203200	56	78
1046206800	56	72
1046210400	56	65
1046214000	56	60
1046217600	57	60
1046221200	57	58
1046224800	57	57
1046228400	57	57
1046232000	57	59
1046235600	57	61
1046239200	57	66
1046242800	57	72
1046246400	57	80
1046250000	57	85
1046253600	57	87
1046257200	57	90
1046260800	57	90
1046264400	57	91
1046268000	57	91
1046271600	57	92
1046275200	57	92
1046278800	57	92
1046282400	57	94
1046286000	57	93
1046289600	57	85
1046293200	57	79
1046296800	57	72
1046300400	57	69
1046304000	58	66
1046307600	58	64
1046311200	58	64
1046314800	58	65
1046318400	58	66
1046322000	58	69
1046325600	58	74
1046329200	58	80
1046332800	58	86
1046336400	58	88
1046340000	58	89
1046343600	58	90
1046347200	58	88
1046350800	58	88
1046354400	58	89
1046358000	58	90
1046361600	58	90
1046365200	58	90
1046368800	58	88
1046372400	58	84
1046376000	58	80
1046379600	58	74
1046383200	58	68
1046386800	58	65
1046390400	59	66
1046394000	59	67
1046397600	59	70
1046401200	59	73
1046404800	59	80
1046408400	59	86
1046412000	59	89
1046415600	59	90
1046419200	59	91
1046422800	59	92
1046426400	59	92
1046430000	59	92
1046433600	59	91
1046437200	59	91
1046440800	59	92
1046444400	59	91
1046448000	59	91
1046451600	59	90
1046455200	59	91
1046458800	59	89
1046462400	59	81
1046466000	59	71
1046469600	59	62
1046476800	60	64
1046480400	60	64
1046484000	60	66
1046487600	60	67
1046491200	60	68
1046494800	60	69
1046498400	60	72
1046502000	60	75
1046505600	60	79
1046509200	60	81
1046512800	60	82
1046516400	60	83
1046520000	60	85
1046523600	60	84
1046527200	60	85
1046530800	60	86
1046534400	60	87
1046538000	60	88
1046541600	60	87
1046545200	60	84
1046548800	60	78
1046552400	60	69
1046556000	60	59
1046559600	60	53
1046563200	61	51
1046566800	61	50
1046570400	61	48
1046574000	61	46
1046577600	61	46
1046581200	61	47
1046584800	61	46
1046588400	61	50
1046592000	61	57
1046595600	61	63
1046599200	61	65
1046602800	61	68
1046606400	61	74
1046610000	61	78
1046613600	61	82
1046617200	61	82
1046620800	61	81
1046624400	61	78
1046628000	61	73
1046631600	61	68
1046635200	61	58
1046638800	61	46
1046642400	61	42
1046646000	61	39
1046649600	62	36
1046653200	62	35
1046656800	62	36
1046660400	62	39
1046664000	62	41
1046667600	62	42
1046671200	62	43
1046674800	62	49
1046678400	62	56
1046682000	62	61
1046685600	62	63
1046689200	62	63
1046692800	62	58
1046696400	62	54
1046700000	62	54
1046703600	62	56
1046707200	62	60
1046710800	62	64
1046714400	62	62
1046718000	62	59
1046721600	62	54
1046725200	62	50
1046728800	62	46
1046732400	62	43
1046736000	63	36
1046739600	63	33
1046743200	63	31
1046746800	63	30
1046750400	63	32
1046754000	63	34
1046757600	63	36
1046761200	63	47
1046764800	63	54
1046768400	63	59
1046772000	63	63
1046775600	63	67
1046779200	63	69
1046782800	63	73
1046786400	63	76
1046790000	63	78
1046793600	63	80
1046797200	63	82
1046800800	63	86
1046804400	63	78
1046808000	63	69
1046811600	63	62
1046815200	63	54
1046818800	63	47
1046822400	64	45
1046826000	64	41
1046829600	64	39
1046833200	64	39
1046836800	64	40
1046840400	64	41
1046844000	64	49
1046847600	64	55
1046851200	64	60
1046854800	64	61
1046858400	64	63
1046862000	64	65
1046865600	64	63
1046869200	64	64
1046872800	64	64
1046876400	64	68
1046880000	64	72
