Unix	jday	Downward_Long-Wave_Rad_Flux
950670000	47	371.777489508395
950673600	47	371.101519934492
950677200	47	370.230977979438
950680800	47	361.508219516668
950684400	47	360.808947843071
950688000	47	358.313755083244
950691600	47	356.922872060484
950695200	47	356.033609775951
950698800	47	355.539528611259
950702400	47	356.913640448602
950706000	47	356.236521540279
950709600	47	354.360623643673
950713200	47	352.514153486762
950716800	47	350.360807860404
950720400	47	349.825397288256
950724000	47	381.545873180286
950727600	47	382.296680000361
950731200	47	383.970182910525
950734800	47	384.926341617977
950738400	47	385.921264670159
950742000	47	386.653842413367
950745600	48	380.954383670073
950749200	48	381.513907112239
950752800	48	379.005318445024
950756400	48	369.432682352168
950760000	48	369.591386687448
950763600	48	372.004022747909
950767200	48	374.34994458121
950770800	48	371.427715630661
950774400	48	370.219561563326
950778000	48	369.937587510144
950781600	48	369.51154357261
950785200	48	369.38194654124
950788800	48	370.7285609591
950792400	48	371.27903656849
950796000	48	371.403422337602
950799600	48	372.085868977453
950803200	48	372.295177660799
950806800	48	372.235120303611
950810400	48	370.821538427932
950814000	48	370.5997728213
950817600	48	370.0768325059
950821200	48	369.912551112005
950824800	48	369.864220305011
950828400	48	369.870180235998
950832000	49	367.663930567999
950835600	49	367.745425838472
950839200	49	369.322369475548
950842800	49	369.614100206947
950846400	49	368.920400277645
950850000	49	366.719610865067
950853600	49	313.600379565092
950857200	49	312.440289394981
950860800	49	304.134562320422
950864400	49	302.792837520239
950868000	49	309.465385458942
950871600	49	315.018282122171
950875200	49	317.842652857851
950878800	49	317.635180445628
950882400	49	324.567505366051
950886000	49	326.248258906361
950889600	49	324.155843865684
950893200	49	319.626280549735
950896800	49	288.383573168523
950900400	49	288.807411143241
950904000	49	292.244684270233
950907600	49	295.356328709929
950911200	49	299.146475831414
950914800	49	302.721255054502
950918400	50	313.336532066151
950922000	50	313.118186866172
950925600	50	313.672278983453
950929200	50	314.313344431742
950932800	50	314.549243131027
950936400	50	314.305635399065
950940000	50	307.290768891247
950943600	50	306.351816546681
950947200	50	304.69804644447
950950800	50	303.876750230111
950954400	50	303.355132210736
950958000	50	303.002847667214
950961600	50	301.230654992541
950965200	50	301.464401744725
950968800	50	301.83157309051
950972400	50	302.611583413752
950976000	50	303.102846345765
950979600	50	303.456149585205
950983200	50	297.379631332037
950986800	50	297.934356597195
950990400	50	301.379618203108
950994000	50	305.836515177917
950997600	50	310.646487842711
951001200	50	314.813007374442
951004800	51	336.733700190183
951008400	51	337.412429715043
951012000	51	337.407848472149
951015600	51	337.81358522959
951019200	51	338.10054290596
951022800	51	338.172932244633
951026400	51	328.148741397866
951030000	51	327.692710624444
951033600	51	322.363978725626
951037200	51	317.924759449399
951040800	51	314.449422786176
951044400	51	311.692249726415
951048000	51	301.602010766457
951051600	51	300.910960580541
951055200	51	301.525219909929
951058800	51	302.029264822486
951062400	51	305.925211029764
951066000	51	310.508116337151
951069600	51	339.466350656954
951073200	51	340.182781814836
951076800	51	350.892679449296
951080400	51	358.7583171677
951084000	51	362.183599480247
951087600	51	364.650903543658
951091200	52	361.308124970399
951094800	52	361.617215059769
951098400	52	354.476291599292
951102000	52	349.258588169746
951105600	52	356.01369693677
951109200	52	360.074838509357
951112800	52	365.27359515903
951116400	52	363.618521289956
951120000	52	361.668667956409
951123600	52	360.582813077956
951127200	52	359.851105023024
951130800	52	359.333804083392
951134400	52	353.029708548278
951138000	52	352.464731304745
951141600	52	352.598450376535
951145200	52	352.964443400183
951148800	52	352.961901185314
951152400	52	352.323319356646
951156000	52	276.922040876276
951159600	52	277.275778370696
951163200	52	276.28915767707
951166800	52	276.929493091375
951170400	52	278.349264347402
951174000	52	280.517653619601
951177600	53	290.397061544349
951181200	53	290.492070349078
951184800	53	291.608314256633
951188400	53	292.722169479567
951192000	53	293.388030856344
951195600	53	293.731382764693
951199200	53	291.065195923297
951202800	53	288.56638687314
951206400	53	285.797242186438
951210000	53	283.8613971009
951213600	53	282.742407040944
951217200	53	282.027145569191
951220800	53	279.068438807043
951224400	53	278.475994925433
951228000	53	279.138319642274
951231600	53	279.553138051428
951235200	53	279.945701719944
951238800	53	280.249846493909
951242400	53	281.486085473519
951246000	53	282.377517805954
951249600	53	286.142798711898
951253200	53	290.273461052382
951256800	53	294.6245770605
951260400	53	298.784013276174
951264000	54	316.229818320703
951267600	54	316.235214081029
951271200	54	315.410737305707
951274800	54	315.669917580396
951278400	54	315.878287724408
951282000	54	315.8443109862
951285600	54	308.354854120154
951289200	54	307.906666671107
951292800	54	314.912243666538
951296400	54	318.659328894343
951300000	54	318.99913842441
