Unix	jday	V.component_of_wind
1065430800	279	1.4927753882831
1065434400	279	2.11218239750907
1065438000	279	2.53901786372303
1065441600	279	3.18704772845265
1065445200	279	2.69900263482852
1065448800	279	1.99586220918516
1065452400	279	1.48396216748396
1065456000	279	1.16893362356234
1065459600	279	0.872112717831939
1065463200	279	1.96796129633367
1065466800	279	1.33462039188751
1065470400	279	0.910691988719665
1065474000	279	0.974013591537975
1065477600	279	0.798737969032609
1065481200	279	0.289950662227097
1065484800	280	-0.188424752624306
1065488400	280	-1.28264417647909
1065492000	280	-1.69109652389756
1065495600	280	-1.35603456712781
1065499200	280	-0.971223174113319
1065502800	280	-0.81727842924401
1065506400	280	-1.59189701517876
1065510000	280	-0.760286012950635
1065513600	280	-0.562394282332731
1065517200	280	-0.823211823771565
1065520800	280	-1.25641124354672
1065524400	280	-1.47248299245715
1065528000	280	-2.14247077524667
1065531600	280	-1.45359765809111
1065535200	280	-1.75356833966504
1065538800	280	-2.50705325528072
1065542400	280	-2.79501555805313
1065546000	280	-3.05188381281229
1065549600	280	-0.939662120674615
1065553200	280	-1.67899147694058
1065556800	280	-2.57337707231847
1065560400	280	-3.74104753862203
1065564000	280	-4.91836274053489
1065567600	280	-5.85883651718392
1065571200	281	-6.67957886261088
1065574800	281	-6.83340071885064
1065578400	281	-6.52273178366437
1065582000	281	-6.05925139612176
1065585600	281	-6.06367010257144
1065589200	281	-6.07407134319298
1065592800	281	-5.00150699717023
1065596400	281	-5.66299971685373
1065600000	281	-6.48155100955857
1065603600	281	-6.67146396315287
1065607200	281	-6.61652697410132
1065610800	281	-6.81260624078368
1065614400	281	-6.44342444783753
1065618000	281	-6.45058603982476
1065621600	281	-7.23932371147641
1065625200	281	-8.76368483441008
1065628800	281	-9.87610424584722
1065632400	281	-10.8757792637991
1065636000	281	-10.0823181373173
1065639600	281	-10.8928700507932
1065643200	281	-11.760496338554
1065646800	281	-11.9905837619437
1065650400	281	-11.7418841779466
1065654000	281	-11.3573148684378
1065657600	282	-10.8232792083755
1065661200	282	-9.57227383353339
1065664800	282	-8.20572919767823
1065668400	282	-6.16650364699343
1065672000	282	-3.65574215039902
1065675600	282	-0.833910583221139
1065679200	282	1.15899105877018
1065682800	282	3.32915929691491
1065686400	282	4.48212853783061
1065690000	282	4.61457694760488
1065693600	282	4.4298236622812
1065697200	282	4.29028103137117
1065700800	282	5.10010724245372
1065704400	282	4.03369456173723
1065708000	282	4.27107738479555
1065711600	282	4.73883498385003
1065715200	282	4.9894711080327
1065718800	282	4.98899834175716
1065722400	282	3.27031078675839
1065726000	282	3.6744408354302
1065729600	282	3.19724191135896
1065733200	282	2.65855667647678
1065736800	282	2.08248875353277
1065740400	282	1.61390948324787
1065744000	283	0.0919521808493017
1065747600	283	0.735476715285486
1065751200	283	1.23451134325975
1065754800	283	1.41420616717976
1065758400	283	0.992009483932926
1065762000	283	0.67652907906791
