Unix	jday	rh
1046584800	61	86
1046588400	61	86
1046592000	61	87
1046595600	61	88
1046599200	61	89
1046602800	61	89
1046606400	61	89
1046610000	61	90
1046613600	61	90
1046617200	61	92
1046620800	61	91
1046624400	61	89
1046628000	61	87
1046631600	61	85
1046635200	61	84
1046638800	61	82
1046642400	61	79
1046646000	61	76
1046649600	62	75
1046653200	62	76
1046656800	62	83
1046660400	62	88
1046664000	62	90
1046667600	62	91
1046671200	62	92
1046674800	62	93
1046678400	62	91
1046682000	62	87
1046685600	62	86
1046689200	62	85
1046692800	62	85
1046696400	62	84
1046700000	62	83
1046703600	62	84
1046707200	62	84
1046710800	62	85
1046714400	62	85
1046718000	62	84
1046721600	62	84
1046725200	62	85
1046728800	62	85
1046732400	62	84
1046736000	63	82
1046739600	63	76
1046743200	63	70
1046746800	63	67
1046750400	63	64
1046754000	63	65
1046757600	63	67
1046761200	63	75
1046764800	63	79
1046768400	63	81
1046772000	63	80
1046775600	63	81
1046779200	63	83
1046782800	63	82
1046786400	63	83
1046790000	63	83
1046793600	63	84
1046797200	63	87
1046800800	63	89
1046804400	63	88
1046808000	63	84
1046811600	63	77
1046815200	63	69
1046818800	63	68
1046822400	64	67
1046826000	64	67
1046829600	64	68
1046833200	64	71
1046836800	64	74
1046840400	64	78
1046844000	64	81
1046847600	64	86
1046851200	64	88
1046854800	64	89
1046858400	64	89
1046862000	64	89
1046865600	64	90
1046869200	64	89
1046872800	64	90
1046876400	64	89
1046880000	64	89
1046883600	64	89
1046887200	64	90
1046890800	64	91
1046894400	64	90
1046898000	64	85
1046901600	64	75
1046905200	64	70
1046908800	65	64
1046912400	65	62
1046916000	65	61
1046919600	65	61
1046923200	65	64
1046926800	65	68
1046930400	65	72
1046934000	65	76
1046937600	65	78
1046941200	65	80
1046944800	65	83
1046948400	65	85
1046952000	65	88
1046955600	65	86
1046959200	65	84
1046962800	65	85
